vehicle,seq,node,name,eta_min,tw_start,tw_end,on_time
0,0,36,Virar_36,110.6,163,360,True
0,1,35,Virar_35,177.1,89,258,True
0,2,10,Virar_10,191.9,0,480,True
0,3,25,Virar_25,205.4,190,305,True
0,4,4,Virar_4,216.5,355,470,True
1,0,31,Mulund_31,48.3,0,480,True
1,1,27,Bhandup_27,74.8,0,480,True
1,2,5,Powai_5,93.3,0,480,True
1,3,22,Ghatkopar_22,111.2,0,161,True
1,4,37,Chembur_37,131.1,0,480,True
1,5,28,Chembur_28,144.0,0,480,True
1,6,38,Kurla_38,156.5,133,239,True
1,7,15,Ghatkopar_15,173.8,0,480,True
1,8,34,Powai_34,189.8,224,406,True
1,9,18,Ghansoli_18,264.3,220,422,True
1,10,6,Kalyan_6,336.4,233,346,True
1,11,40,Ulhasnagar_40,347.4,0,480,True
1,12,32,Ambernath_32,370.8,0,480,True
1,13,17,Kalyan_17,406.8,319,479,True
1,14,24,Dombivli_24,431.4,0,480,True
2,0,33,Dombivli_33,28.0,94,197,True
2,1,29,Ulhasnagar_29,117.3,89,182,True
2,2,8,Ambernath_8,135.8,0,480,True
2,3,23,Ambernath_23,150.5,80,221,True
2,4,7,Turbhe_7,233.4,165,287,True
2,5,12,Vashi_12,246.1,271,465,True
2,6,16,Chembur_16,316.7,270,374,True
2,7,1,Chembur_1,333.8,285,450,True
2,8,39,Bhandup_39,368.7,315,434,True
3,0,11,Thane_11,27.0,0,480,True
3,1,9,Mulund_9,56.0,108,244,True
3,2,26,Ghansoli_26,147.8,0,480,True
3,3,2,Vashi_2,169.2,0,480,True
3,4,14,Nerul_14,194.9,172,330,True
3,5,19,Panvel_19,239.6,0,480,True
3,6,3,Panvel_3,249.9,121,264,True
3,7,30,Badlapur_30,343.1,270,430,True
3,8,13,Badlapur_13,357.3,362,469,True
3,9,20,Ulhasnagar_20,405.6,361,474,True
3,10,21,Dombivli_21,432.9,317,439,True
